year,month,AO
1990,1,1.00E+00
1990,2,3.40E+00
1990,3,2.99E+00
1990,4,1.88E+00
1990,5,9.43E-01
1990,6,3.04E-01
1990,7,-2.96E-01
1990,8,-1.80E-01
1990,9,-2.10E-01
1990,10,6.60E-01
1990,11,5.21E-01
1990,12,1.28E+00
1991,1,7.23E-01
1991,2,-8.76E-01
1991,3,-5.27E-01
1991,4,5.30E-01
1991,5,4.86E-01
1991,6,-1.15E-01
1991,7,-1.88E-01
1991,8,7.97E-01
1991,9,-1.12E-01
1991,10,-2.52E-01
1991,11,2.85E-01
1991,12,1.61E+00
1992,1,5.50E-01
1992,2,1.12E+00
1992,3,9.84E-01
1992,4,-5.21E-01
1992,5,1.34E+00
1992,6,-3.02E-01
1992,7,1.91E-01
1992,8,5.35E-01
1992,9,-6.40E-01
1992,10,-3.66E-01
1992,11,7.17E-01
1992,12,1.63E+00
1993,1,3.50E+00
1993,2,1.85E-01
1993,3,7.64E-01
1993,4,-4.35E-01
1993,5,-1.61E+00
1993,6,-5.20E-01
1993,7,-5.11E-01
1993,8,-3.93E-01
1993,9,-3.61E-01
1993,10,-5.65E-01
1993,11,1.00E+00
1993,12,-1.04E-01
1994,1,-2.88E-01
1994,2,-8.62E-01
1994,3,1.88E+00
1994,4,2.25E-01
1994,5,-1.15E-01
1994,6,1.61E+00
1994,7,3.51E-01
1994,8,8.28E-01
1994,9,-8.41E-02
1994,10,1.74E-01
1994,11,1.78E+00
1994,12,8.94E-01
1995,1,-1.54E-01
1995,2,1.43E+00
1995,3,3.93E-01
1995,4,-9.63E-01
1995,5,-8.91E-01
1995,6,-1.12E-01
1995,7,-2.17E-01
1995,8,5.44E-01
1995,9,-5.49E-01
1995,10,7.50E-02
1995,11,-7.23E-01
1995,12,-2.13E+00
1996,1,-1.20E+00
1996,2,1.63E-01
1996,3,-1.48E+00
1996,4,-1.53E+00
1996,5,-2.26E-01
1996,6,4.97E-01
1996,7,7.15E-01
1996,8,1.25E-01
1996,9,-1.14E+00
1996,10,1.83E-01
1996,11,1.36E-01
1996,12,-1.72E+00
1997,1,-4.57E-01
1997,2,1.89E+00
1997,3,1.09E+00
1997,4,3.24E-01
1997,5,-9.61E-01
1997,6,-8.15E-01
1997,7,-4.31E-01
1997,8,1.21E-01
1997,9,1.95E-01
1997,10,-7.00E-01
1997,11,-6.61E-01
1997,12,-7.11E-02
1998,1,-2.08E+00
1998,2,-1.83E-01
1998,3,-2.54E-01
1998,4,-3.79E-02
1998,5,4.29E-01
1998,6,-7.11E-01
1998,7,-2.12E-01
1998,8,6.50E-01
1998,9,-1.05E+00
1998,10,2.94E-01
1998,11,-1.45E+00
1998,12,1.35E+00
1999,1,1.10E-01
1999,2,4.82E-01
1999,3,-1.49E+00
1999,4,2.84E-01
1999,5,2.26E-01
1999,6,7.07E-01
1999,7,-2.04E-03
1999,8,-6.72E-01
1999,9,5.91E-02
1999,10,-5.80E-03
1999,11,6.11E-01
1999,12,1.04E+00
2000,1,1.27E+00
2000,2,1.08E+00
2000,3,-4.51E-01
2000,4,-2.79E-01
2000,5,9.69E-01
2000,6,5.86E-01
2000,7,-6.49E-01
2000,8,1.44E-01
2000,9,3.95E-01
2000,10,3.17E-01
2000,11,-1.58E+00
2000,12,-2.35E+00
2001,1,-9.59E-01
2001,2,-6.22E-01
2001,3,-1.69E+00
2001,4,9.06E-01
2001,5,4.52E-01
2001,6,-1.53E-02
2001,7,-3.10E-02
2001,8,5.21E-01
2001,9,-7.07E-01
2001,10,7.07E-01
2001,11,8.19E-01
2001,12,-1.32E+00
2002,1,1.38E+00
2002,2,1.30E+00
2002,3,9.02E-01
2002,4,7.48E-01
2002,5,4.01E-01
2002,6,5.73E-01
2002,7,3.28E-01
2002,8,-2.29E-01
2002,9,-4.27E-02
2002,10,-1.49E+00
2002,11,-1.43E+00
2002,12,-1.59E+00
2003,1,-4.72E-01
2003,2,1.28E-01
2003,3,9.33E-01
2003,4,-1.78E-01
2003,5,1.02E+00
2003,6,-1.02E-01
2003,7,7.53E-02
2003,8,-2.80E-01
2003,9,4.67E-01
2003,10,-6.70E-01
2003,11,6.42E-01
2003,12,2.65E-01
2004,1,-1.69E+00
2004,2,-1.53E+00
2004,3,3.18E-01
2004,4,-4.09E-01
2004,5,-9.43E-02
2004,6,-2.36E-01
2004,7,-2.01E-01
2004,8,-7.20E-01
2004,9,8.55E-01
2004,10,-5.15E-01
2004,11,6.78E-01
2004,12,1.23E+00
2005,1,3.56E-01
2005,2,-1.27E+00
2005,3,-1.35E+00
2005,4,-4.62E-02
2005,5,-7.63E-01
2005,6,-3.83E-01
2005,7,-3.02E-02
2005,8,2.61E-02
2005,9,8.02E-01
2005,10,2.98E-02
2005,11,2.28E-01
2005,12,-2.10E+00
2006,1,-1.70E-01
2006,2,-1.56E-01
2006,3,-1.60E+00
2006,4,1.38E-01
2006,5,1.56E-01
2006,6,1.07E+00
2006,7,1.03E-01
2006,8,-2.65E-01
2006,9,6.06E-01
2006,10,-1.03E+00
2006,11,5.21E-01
2006,12,2.28E+00
2007,1,2.03E+00
2007,2,-1.31E+00
2007,3,1.18E+00
2007,4,5.44E-01
2007,5,8.94E-01
2007,6,-5.55E-01
2007,7,-3.97E-01
2007,8,-3.37E-02
2007,9,1.79E-01
2007,10,3.83E-01
2007,11,-5.19E-01
2007,12,8.21E-01
2008,1,8.19E-01
2008,2,9.38E-01
2008,3,5.86E-01
2008,4,-4.55E-01
2008,5,-1.20E+00
2008,6,-8.98E-02
2008,7,-4.80E-01
2008,8,-8.05E-02
2008,9,-3.27E-01
2008,10,1.68E+00
2008,11,9.22E-02
2008,12,6.48E-01
2009,1,8.00E-01
2009,2,-6.72E-01
2009,3,1.21E-01
2009,4,9.73E-01
2009,5,1.19E+00
2009,6,-1.35E+00
2009,7,-1.36E+00
2009,8,-5.37E-02
2009,9,8.75E-01
2009,10,-1.54E+00
2009,11,4.59E-01
2009,12,-3.41E+00
2010,1,-2.59E+00
2010,2,-4.27E+00
2010,3,-4.32E-01
2010,4,-2.75E-01
2010,5,-9.19E-01
2010,6,-1.30E-02
2010,7,4.35E-01
2010,8,-1.17E-01
2010,9,-8.65E-01
2010,10,-4.67E-01
2010,11,-3.76E-01
2010,12,-2.63E+00
2011,1,-1.68E+00
2011,2,1.58E+00
2011,3,1.42E+00
2011,4,2.27E+00
2011,5,-3.51E-02
2011,6,-8.58E-01
2011,7,-4.72E-01
2011,8,-1.06E+00
2011,9,6.65E-01
2011,10,8.00E-01
2011,11,1.46E+00
2011,12,2.22E+00
2012,1,-2.20E-01
2012,2,-3.63E-02
2012,3,1.04E+00
2012,4,-3.46E-02
2012,5,1.68E-01
2012,6,-6.72E-01
2012,7,1.68E-01
2012,8,1.40E-02
2012,9,7.72E-01
2012,10,-1.51E+00
2012,11,-1.11E-01
2012,12,-1.75E+00
2013,1,-6.10E-01
2013,2,-1.01E+00
2013,3,-3.19E+00
2013,4,3.22E-01
2013,5,4.94E-01
