Date,NPI
200001,1013.54
200002,1000.9
200003,1005.93
200004,1015.08
200005,1016.26
200006,1015.37
200007,1017.37
200008,1018.06
200009,1013.41
200010,1012.85
200011,1009.13
200012,1003.25
200101,1002
200102,1009.46
200103,1011.58
200104,1016.05
200105,1015.52
200106,1016.5
200107,1017.41
200108,1016.4
200109,1013.72
200110,1013.92
200111,1006.79
200112,1006.74
200201,1007.86
200202,1010.13
200203,1014.46
200204,1018.43
200205,1014.35
200206,1013.67
200207,1016.85
200208,1016.2
200209,1014.54
200210,1010.22
200211,1004.55
200212,1003.26
200301,999.59
200302,1007.49
200303,1010.44
200304,1014.47
200305,1015.92
200306,1013.69
200307,1018.2
200308,1016.42
200309,1013.25
200310,1011.44
200311,1018.1
200312,1003.77
200401,1005.07
200402,1001.85
200403,1014.03
200404,1011.56
200405,1015.18
200406,1016.52
200407,1014.98
200408,1013.88
200409,1015.94
200410,1012.55
200411,1011.09
200412,1009.24
200501,1004
200502,1008.07
200503,1008.35
200504,1014
200505,1011.91
200506,1014.61
200507,1017.01
200508,1014.91
200509,1016.08
200510,1012.96
200511,1013.88
200512,999.54
200601,1007.96
200602,1014.38
200603,1014.78
200604,1015.51
200605,1016.5
200606,1016.5
200607,1016.33
200608,1018.12
200609,1014.75
200610,1014.18
200611,1014.75
200612,1004.94
200701,1008.53
200702,1008.17
200703,1012.74
200704,1009.87
200705,1015.51
200706,1016.26
200707,1014.67
200708,1016.07
200709,1013.92
200710,1013.33
200711,1007.59
200712,1010.56
200801,1009.33
200802,1005.85
200803,1013.19
200804,1018.18
200805,1014.14
200806,1016.95
200807,1016.56
200808,1014.83
200809,1013.98
200810,1015.42
200811,1010.81
200812,1014.72
200901,1009.59
200902,1014.81
200903,1017.4
200904,1015.88
200905,1016.03
200906,1013.16
200907,1015.78
200908,1016.23
200909,1013.6
200910,1010.73
200911,1012.19
200912,1004.34
201001,1000.04
201002,1005.01
201003,1010.87
201004,1015.22
201005,1016.23
201006,1015.99
201007,1018.84
201008,1018.11
201009,1012.75
201010,1011.56
201011,1013.83
201012,1013.51
201101,1003.18
201102,1015.8
201103,1009.34
201104,1015.1
201105,1014.86
201106,1014.75
201107,1017.27
201108,1015.04
201109,1012.88
201110,1012.67
201111,1014.06
201112,1009.69
201201,1007.49
201202,1006.07
201203,1014.31
201204,1015.06
201205,1016.26
201206,1014.66
201207,1018.38
201208,1016.97
201209,1015.32
201210,1012.85
201211,1012.29
201212,1009.34
201301,1006.32
201302,1009.7
201303,1013.91
201304,1016.05
201305,1015.92
201306,1015.75
201307,1018.26
201308,1013.93
201309,1013.17
201310,1012.5
201311,1015.44
201312,1010.29
201401,1002.87
201402,1010.84
201403,1009.58
201404,1010.81
201405,1017.44
201406,1016.41
201407,1016.73
201408,1014.39
201409,1012.06
201410,1011.17
201411,1008.51
201412,1005.1
201501,1004.45
201502,1007.6
201503,1013.65
201504,1015.87
201505,1014.65
201506,1015.56
201507,1015.21
201508,1016.4
201509,1015.79
201510,1009.75
201511,1015.94
201512,1006.17
201601,999.07
201602,1003.23
201603,1008.53
201604,1010.49
201605,1017.15
201606,1017.59
201607,1020.14
201608,1018.83
201609,1015.59
201610,1009.52
201611,1009.24
201612,1014.11
201701,1008.76
201702,1008.15
201703,1011.02
201704,1011.23
201705,1014.92
201706,1013.77
201707,1018.07
201708,1015.27
201709,1014
201710,1015.34
201711,1016.31
201712,1009.67
201801,1007.14
201802,1014.44
201803,1017.33
201804,1013.25
201805,1015.28
201806,1014.57
201807,1020.47
201808,1017.03
201809,1016.65
201810,1010.45
201811,1010.86
201812,1007.65
