"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2011","2012","2013","2014","2015","2016","2017","2018"
14506,"W ALEU","W ALEU","West",2011,-1.03484673105144,"F",1,11,3,4,5,7,9,9
14507,"W ALEU","W ALEU","West",2011,-1.56901592391493,"F",1,11,3,11,11,11,11,11
14509,"W ALEU","W ALEU","West",2011,-0.500677538187948,"F",1,11,11,11,11,7,11,11
14510,"W ALEU","W ALEU","West",2011,0.276295833249859,"F",1,11,11,11,11,11,11,11
14511,"W ALEU","W ALEU","West",2011,-1.37477258105548,"F",1,11,11,11,11,11,11,11
14512,"W ALEU","W ALEU","West",2011,0.567660847539036,"F",1,2,11,11,11,11,11,11
14513,"W ALEU","W ALEU","West",2011,-0.0636300167541824,"F",1,11,3,11,11,11,11,11
14514,"W ALEU","W ALEU","West",2011,0.907586697543077,"F",1,2,11,4,5,7,10,11
14515,"W ALEU","W ALEU","West",2011,-0.112190852469045,"F",1,2,3,4,5,8,9,10
14516,"W ALEU","W ALEU","West",2011,-1.47189425248521,"F",1,11,11,11,11,11,11,11
14517,"W ALEU","W ALEU","West",2011,-1.27765090962576,"F",1,11,11,4,5,8,10,10
14518,"W ALEU","W ALEU","West",2011,0.713343354683626,"F",1,2,11,11,11,11,11,11
14519,"W ALEU","W ALEU","West",2011,-1.13196840248117,"F",1,11,11,11,11,11,11,11
14520,"W ALEU","W ALEU","West",2011,0.227734997534996,"F",1,11,11,11,11,11,11,11
14523,"W ALEU","W ALEU","West",2011,-1.56901592391493,"F",1,2,11,11,11,11,11,11
14524,"W ALEU","W ALEU","West",2011,-0.160751688183908,"F",1,2,3,4,6,8,10,9
14528,"W ALEU","W ALEU","West",2011,-1.81182010248925,"F",1,11,11,11,11,11,11,11
14530,"W ALEU","W ALEU","West",2011,0.227734997534996,"F",1,11,3,11,11,11,11,11
14531,"W ALEU","W ALEU","West",2011,0.373417504679584,"F",1,11,3,4,5,8,9,10
14532,"W ALEU","W ALEU","West",2011,0.373417504679584,"F",1,2,11,11,11,11,11,11
14535,"W ALEU","W ALEU","West",2011,1.58743839755116,"F",1,2,11,11,11,11,11,11
14539,"W ALEU","W ALEU","West",2011,1.29607338326198,"F",1,2,3,11,11,11,11,11
14540,"W ALEU","W ALEU","West",2011,-1.0834075667663,"F",1,11,11,4,11,11,11,11
14543,"W ALEU","W ALEU","West",2011,1.73312090469575,"F",1,11,3,4,5,7,9,9
14544,"W ALEU","W ALEU","West",2011,-1.52045508820007,"F",1,11,3,4,11,11,11,11
14545,"W ALEU","W ALEU","West",2011,1.68456006898088,"F",1,11,11,11,11,11,11,11
14547,"W ALEU","W ALEU","West",2011,-0.549238373902812,"F",1,2,3,4,11,11,11,11
14554,"W ALEU","W ALEU","West",2011,-1.37477258105548,"F",1,11,11,11,11,11,11,11
14556,"W ALEU","W ALEU","West",2011,-0.597799209617675,"F",1,11,11,11,11,11,11,11
14557,"W ALEU","W ALEU","West",2011,-1.6175767596298,"F",1,2,3,4,11,11,11,11
14559,"W ALEU","W ALEU","West",2011,0.713343354683626,"F",1,11,11,11,5,8,9,10
15163,"W ALEU","W ALEU","West",2013,-1.03484673105144,"F",11,11,1,2,3,11,11,11
15165,"W ALEU","W ALEU","West",2013,-0.646360045332538,"F",11,11,1,2,11,11,11,11
15166,"W ALEU","W ALEU","West",2013,-0.257873359613634,"F",11,11,1,2,11,11,11,11
15167,"W ALEU","W ALEU","West",2013,-0.84060338819199,"F",11,11,1,2,11,11,11,11
15169,"W ALEU","W ALEU","West",2013,-2.54023263821219,"F",11,11,1,11,11,11,11,11
15170,"W ALEU","W ALEU","West",2013,-2.34598929535274,"F",11,11,1,2,11,11,11,11
15171,"W ALEU","W ALEU","West",2013,0.761904190398488,"F",11,11,1,2,11,11,11,11
15176,"W ALEU","W ALEU","West",2013,0.0334916546755441,"F",11,11,1,2,3,4,5,7
