"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2011","2012","2013","2014","2015","2016","2017","2018"
14508,"W ALEU","W ALEU","West",2011,-1.64448806251788,"M",1,8,8,8,8,8,8,8
14521,"W ALEU","W ALEU","West",2011,0.749555981941151,"M",1,2,3,4,5,6,7,7
14522,"W ALEU","W ALEU","West",2011,0.787556681059548,"M",1,8,8,8,8,8,8,8
14525,"W ALEU","W ALEU","West",2011,-1.4544845669259,"M",1,8,8,8,8,6,7,7
14526,"W ALEU","W ALEU","West",2011,0.48355108811237,"M",1,2,8,8,8,8,8,8
14527,"W ALEU","W ALEU","West",2011,-0.732471283676346,"M",1,2,3,4,5,6,7,7
14529,"W ALEU","W ALEU","West",2011,0.787556681059548,"M",1,2,3,8,8,8,8,8
14533,"W ALEU","W ALEU","West",2011,-0.0104580004267962,"M",1,8,8,8,8,8,8,8
14534,"W ALEU","W ALEU","West",2011,1.01556087576993,"M",1,8,8,8,8,8,8,8
14536,"W ALEU","W ALEU","West",2011,1.4335685660723,"M",1,8,8,8,8,8,8,8
14537,"W ALEU","W ALEU","West",2011,-1.15047897397872,"M",1,2,8,8,8,6,8,8
14538,"W ALEU","W ALEU","West",2011,-1.22648037221551,"M",1,8,8,8,8,8,8,8
14541,"W ALEU","W ALEU","West",2011,0.635553884585958,"M",1,2,3,4,5,6,7,7
14542,"W ALEU","W ALEU","West",2011,-0.580468487202756,"M",1,2,8,8,8,8,8,8
14546,"W ALEU","W ALEU","West",2011,0.749555981941151,"M",1,8,8,8,8,8,8,8
14548,"W ALEU","W ALEU","West",2011,-0.656469885439551,"M",1,8,8,8,8,8,8,8
14549,"W ALEU","W ALEU","West",2011,0.521551787230766,"M",1,2,3,4,8,6,7,7
14550,"W ALEU","W ALEU","West",2011,-0.732471283676346,"M",1,8,8,8,8,8,8,8
14551,"W ALEU","W ALEU","West",2011,-1.4164838678075,"M",1,2,8,8,8,8,8,8
14552,"W ALEU","W ALEU","West",2011,-2.25249924841224,"M",1,8,3,4,5,8,8,8
14553,"W ALEU","W ALEU","West",2011,-0.352464292492372,"M",1,2,3,4,5,6,7,7
14555,"W ALEU","W ALEU","West",2011,-0.922474779268333,"M",1,2,8,8,8,8,8,8
14558,"W ALEU","W ALEU","West",2011,0.17954549516519,"M",1,8,8,8,8,8,8,8
15156,"W ALEU","W ALEU","West",2013,-0.352464292492372,"M",8,8,1,8,8,8,8,8
15157,"W ALEU","W ALEU","West",2013,-2.17649785017544,"M",8,8,1,8,8,8,8,8
15158,"W ALEU","W ALEU","West",2013,-1.79649085899147,"M",8,8,1,2,3,4,8,6
15159,"W ALEU","W ALEU","West",2013,-2.63250623959621,"M",8,8,1,2,8,8,8,8
15160,"W ALEU","W ALEU","West",2013,-1.18847967309711,"M",8,8,1,2,8,8,8,8
15161,"W ALEU","W ALEU","West",2013,-0.998476177505127,"M",8,8,1,8,8,8,8,8
15162,"W ALEU","W ALEU","West",2013,-1.53048596516269,"M",8,8,1,2,8,8,8,8
15164,"W ALEU","W ALEU","West",2013,-1.22648037221551,"M",8,8,1,8,8,8,8,8
15168,"W ALEU","W ALEU","West",2013,-0.884474080149935,"M",8,8,1,8,8,8,8,8
15172,"W ALEU","W ALEU","West",2013,0.331548291638779,"M",8,8,1,2,3,4,5,6
15173,"W ALEU","W ALEU","West",2013,-0.732471283676346,"M",8,8,1,8,8,8,8,8
15174,"W ALEU","W ALEU","West",2013,-1.07447757574192,"M",8,8,1,8,8,8,8,8
15175,"W ALEU","W ALEU","West",2013,-0.998476177505127,"M",8,8,1,2,3,4,5,6
15180,"W ALEU","W ALEU","West",2013,-1.4164838678075,"M",8,8,1,8,8,8,8,8
15181,"W ALEU","W ALEU","West",2013,0.255546893401985,"M",8,8,1,2,8,8,8,8
15183,"W ALEU","W ALEU","West",2013,0.17954549516519,"M",8,8,1,2,3,4,5,6
15185,"W ALEU","W ALEU","West",2013,0.635553884585958,"M",8,8,1,2,3,4,5,6
15190,"W ALEU","W ALEU","West",2013,0.407549689875575,"M",8,8,1,8,3,8,8,8
15191,"W ALEU","W ALEU","West",2013,0.293547592520383,"M",8,8,1,2,8,8,8,8
15192,"W ALEU","W ALEU","West",2013,-2.06249575282025,"M",8,8,1,2,3,8,8,8
15193,"W ALEU","W ALEU","West",2013,-1.26448107133391,"M",8,8,1,2,3,4,5,6
15195,"W ALEU","W ALEU","West",2013,-0.656469885439551,"M",8,8,1,8,8,8,8,8
15196,"W ALEU","W ALEU","West",2013,-1.18847967309711,"M",8,8,1,8,8,8,8,8
15198,"W ALEU","W ALEU","West",2013,-1.03647687662352,"M",8,8,1,8,8,8,8,8
15199,"W ALEU","W ALEU","West",2013,0.0275426986916017,"M",8,8,1,2,8,8,8,8
15200,"W ALEU","W ALEU","West",2013,-0.124460097781988,"M",8,8,1,8,8,8,8,8
15201,"W ALEU","W ALEU","West",2013,0.255546893401985,"M",8,8,1,2,8,4,8,8
15203,"W ALEU","W ALEU","West",2013,1.12956297312512,"M",8,8,1,2,8,8,8,8
15204,"W ALEU","W ALEU","West",2013,-0.0864593986635906,"M",8,8,1,8,8,8,8,8
