"Region","Season","Var","WAIC","RE","null"
"east","win","uwnd",17693.0950944254,17706.8534658616,18011.0471966292
"east","fall","uwnd",17703.8190001126,17706.8534658616,18011.0471966292
"east","sum","uwnd",NA,17706.8534658616,18011.0471966292
"east","spr","uwnd",17695.2611902829,17706.8534658616,18011.0471966292
"east","NB","uwnd",17702.7487679279,17706.8534658616,18011.0471966292
"east","win","NPI",17701.5141511835,17706.8534658616,18011.0471966292
"east","fall","NPI",17699.0700943273,17706.8534658616,18011.0471966292
"east","sum","NPI",17694.8022674253,17706.8534658616,18011.0471966292
"east","spr","NPI",17701.7056348006,17706.8534658616,18011.0471966292
"east","NB","NPI",17705.9274519214,17706.8534658616,18011.0471966292
"east","win","NOI",17704.9569262918,17706.8534658616,18011.0471966292
"east","fall","NOI",17695.0531770462,17706.8534658616,18011.0471966292
"east","sum","NOI",17696.3012851983,17706.8534658616,18011.0471966292
"east","spr","NOI",17703.6228370749,17706.8534658616,18011.0471966292
"east","NB","NOI",17695.5098835194,17706.8534658616,18011.0471966292
"east","win","sst",17701.7187868306,17706.8534658616,18011.0471966292
"east","fall","sst",17711.3898313157,17706.8534658616,18011.0471966292
"east","sum","sst",17697.7322682552,17706.8534658616,18011.0471966292
"east","spr","sst",17699.4209895901,17706.8534658616,18011.0471966292
"east","NB","sst",17688.7038737319,17706.8534658616,18011.0471966292
"east","win","curl",17700.5519507794,17706.8534658616,18011.0471966292
"east","fall","curl",17695.905923785,17706.8534658616,18011.0471966292
"east","sum","curl",17706.0202131002,17706.8534658616,18011.0471966292
"east","spr","curl",17706.2390366483,17706.8534658616,18011.0471966292
"east","NB","curl",17700.3410020449,17706.8534658616,18011.0471966292
"east","win","prod",17700.2678077745,17706.8534658616,18011.0471966292
"east","fall","prod",17696.3163586118,17706.8534658616,18011.0471966292
"east","sum","prod",17710.2615028967,17706.8534658616,18011.0471966292
"east","spr","prod",17706.3347328608,17706.8534658616,18011.0471966292
"east","NB","prod",17703.0085942429,17706.8534658616,18011.0471966292
"east","win","PDO",17703.325165724,17706.8534658616,18011.0471966292
"east","fall","PDO",17702.624380886,17706.8534658616,18011.0471966292
"east","sum","PDO",17699.7311141087,17706.8534658616,18011.0471966292
"east","spr","PDO",17696.3631795489,17706.8534658616,18011.0471966292
"east","NB","PDO",17705.179163291,17706.8534658616,18011.0471966292
"east","win","MEI",17692.9577363994,17706.8534658616,18011.0471966292
"east","fall","MEI",17693.78830008,17706.8534658616,18011.0471966292
"east","sum","MEI",17695.6290513648,17706.8534658616,18011.0471966292
"east","spr","MEI",17707.3865992931,17706.8534658616,18011.0471966292
"east","NB","MEI",17695.9312282265,17706.8534658616,18011.0471966292
